file_name,lzma,bz2,zlib,wavelets
client_storage/R2017_10_06/M171006_090038.lvm,928844,203444,188976,272811,1318
client_storage/R2017_10_06/M171006_090206.lvm,925436,205432,181505,272067,1123
client_storage/R2017_10_06/M171006_085520.lvm,929105,199984,181594,271905,1120
client_storage/R2017_10_06/M171006_064922.lvm,919143,199768,177014,266659,1083
client_storage/R2017_10_06/M171006_065324.lvm,927721,199392,182464,270899,1196
client_storage/R2017_10_06/M171006_064646.lvm,933094,200356,185763,268361,1260
client_storage/R2017_10_06/M171006_081938.lvm,935891,199724,191871,269737,1267
client_storage/R2017_10_06/M171006_074457.lvm,920423,200988,179510,267983,1087
client_storage/R2017_10_06/M171006_071226.lvm,928508,200452,177317,264012,1098
client_storage/R2017_10_06/M171006_061255.lvm,932019,197992,172957,259528,1167
client_storage/R2017_10_06/M171006_080806.lvm,927630,215284,212624,295144,1308
client_storage/R2017_10_06/M171006_085836.lvm,924297,205104,186306,274697,1208
client_storage/R2017_10_06/M171006_065343.lvm,923642,210080,207624,284659,1192
client_storage/R2017_10_06/M171006_063406.lvm,931981,199728,175066,268886,1203
client_storage/R2017_10_06/M171006_063959.lvm,934512,205140,189364,270800,1315
client_storage/R2017_10_06/M171006_072719.lvm,931082,212992,211293,289685,1244
client_storage/R2017_10_06/M171006_081306.lvm,934882,197868,176197,261554,1245
client_storage/R2017_10_06/M171006_074614.lvm,937147,197460,177761,261594,1200
client_storage/R2017_10_06/M171006_042831.lvm,917858,201112,184820,272152,1144
client_storage/R2017_10_06/M171006_063626.lvm,934939,199972,182776,263518,1301
client_storage/R2017_10_06/M171006_083550.lvm,929147,204436,187662,275601,1268
client_storage/R2017_10_06/M171006_054301.lvm,927983,201692,186094,272623,1291
client_storage/R2017_10_06/M171006_065627.lvm,934396,199608,182942,273338,1303
client_storage/R2017_10_06/M171006_044254.lvm,926754,198988,181388,268998,1132
client_storage/R2017_10_06/M171006_040440.lvm,926478,202472,183708,269302,1120
client_storage/R2017_10_06/M171006_062445.lvm,929944,197964,178200,264018,1108
client_storage/R2017_10_06/M171006_072007.lvm,935882,197288,184961,265940,1208
client_storage/R2017_10_06/M171006_090347.lvm,923935,203676,184806,274797,1213
client_storage/R2017_10_06/M171006_053438.lvm,922092,200280,181314,272483,1145
client_storage/R2017_10_06/M171006_054942.lvm,935650,196440,183628,266818,1320
