file_name,original_size,lzma,bz2,zlib,x264
client_storage/R2017_10_06/M171006_051447.avi,403456,277444,262111,288379,16789
client_storage/R2017_10_06/M171006_051448.avi,416768,281808,264866,293658,13570
client_storage/R2017_10_06/M171006_051503.avi,443392,326112,309744,334441,18071
client_storage/R2017_10_06/M171006_051535.avi,431104,305104,287643,314882,20510
client_storage/R2017_10_06/M171006_051540.avi,406528,282628,263752,294788,17688
client_storage/R2017_10_06/M171006_051544.avi,468480,354136,337782,363576,30089
client_storage/R2017_10_06/M171006_051554.avi,469504,354632,337013,363738,27574
client_storage/R2017_10_06/M171006_051604.avi,470528,350516,334139,358876,27860
client_storage/R2017_10_06/M171006_051616.avi,421376,306208,288076,316070,19645
client_storage/R2017_10_06/M171006_051633.avi,493056,374600,362633,382781,35763
client_storage/R2017_10_06/M171006_051640.avi,462848,346472,330801,355282,28508
client_storage/R2017_10_06/M171006_051709.avi,459776,342524,324654,351258,26361
client_storage/R2017_10_06/M171006_051736.avi,413696,293560,272859,305464,19563
client_storage/R2017_10_06/M171006_051753.avi,404992,283960,263512,296395,18622
client_storage/R2017_10_06/M171006_051828.avi,476672,358464,342369,366128,29765
client_storage/R2017_10_06/M171006_051851.avi,484864,371172,353612,379670,33802
client_storage/R2017_10_06/M171006_051925.avi,463360,338672,322683,347471,27906
client_storage/R2017_10_06/M171006_051934.avi,394240,267072,249237,278237,13666
client_storage/R2017_10_06/M171006_051950.avi,410624,285188,269341,296244,15332
client_storage/R2017_10_06/M171006_051953.avi,417280,301508,283342,312432,20911
client_storage/R2017_10_06/M171006_052001.avi,432128,307472,289538,317648,18911
client_storage/R2017_10_06/M171006_052004.avi,423424,295496,278407,305923,13816
client_storage/R2017_10_06/M171006_052010.avi,412672,290644,274739,300625,16009
client_storage/R2017_10_06/M171006_052037.avi,437248,319496,300117,329846,21890
client_storage/R2017_10_06/M171006_052040.avi,454144,341116,323100,350507,27035
client_storage/R2017_10_06/M171006_052044.avi,443904,326720,307042,337437,24323
client_storage/R2017_10_06/M171006_052047.avi,416768,294752,273889,306496,19592
client_storage/R2017_10_06/M171006_052051.avi,413184,292856,273827,304246,20076
client_storage/R2017_10_06/M171006_052122.avi,427008,306000,288075,316138,20379
client_storage/R2017_10_06/M171006_052129.avi,414208,296576,277250,307926,19423
client_storage/R2017_10_06/M171006_052135.avi,424960,301776,282361,313295,20412
client_storage/R2017_10_06/M171006_052143.avi,482816,364596,348089,373073,29677
client_storage/R2017_10_06/M171006_052155.avi,466432,352824,336217,361368,27300
client_storage/R2017_10_06/M171006_052204.avi,431104,311304,290163,322402,22052
client_storage/R2017_10_06/M171006_052214.avi,415232,288248,272138,298568,16172
client_storage/R2017_10_06/M171006_052225.avi,417792,298588,283175,308272,17451
client_storage/R2017_10_06/M171006_052227.avi,438784,318068,300778,328732,23874
client_storage/R2017_10_06/M171006_052231.avi,450048,332840,317557,341338,25883
client_storage/R2017_10_06/M171006_052251.avi,475136,355152,339416,363497,30159
client_storage/R2017_10_06/M171006_052314.avi,441344,322508,305617,332287,26116
client_storage/R2017_10_06/M171006_052359.avi,428544,300444,281308,311874,17192
client_storage/R2017_10_06/M171006_052402.avi,428032,305524,287002,315998,20865
