file_name,original_size,lzma,bz2,zlib,wavelets
..\client_storage\R2017_10_06\M171006_052135.lvm,933099,199460,175462,261364,1198
..\client_storage\R2017_10_06\M171006_052143.lvm,925984,215152,215278,290772,1255
..\client_storage\R2017_10_06\M171006_052155.lvm,934886,193972,178186,260848,1186
..\client_storage\R2017_10_06\M171006_052204.lvm,933134,198028,182861,267491,1266
..\client_storage\R2017_10_06\M171006_052214.lvm,931473,198400,175814,261278,1131
..\client_storage\R2017_10_06\M171006_052225.lvm,934395,198040,178600,259540,1187
..\client_storage\R2017_10_06\M171006_052227.lvm,932048,204148,180821,267776,1176
..\client_storage\R2017_10_06\M171006_052231.lvm,932075,201124,180598,267157,1139
..\client_storage\R2017_10_06\M171006_052251.lvm,929992,202020,182271,267840,1232
..\client_storage\R2017_10_06\M171006_052314.lvm,930286,225188,240994,317167,1481
..\client_storage\R2017_10_06\M171006_052359.lvm,932411,200800,179679,267620,1119
..\client_storage\R2017_10_06\M171006_052402.lvm,932544,201304,181919,267186,1146
..\client_storage\R2017_10_06\M171006_052420.lvm,925488,201052,179562,267055,1169
..\client_storage\R2017_10_06\M171006_052503.lvm,927964,204572,188587,278292,1302
..\client_storage\R2017_10_06\M171006_052509.lvm,929079,203188,180523,270542,1140
..\client_storage\R2017_10_06\M171006_052517.lvm,928345,202660,188001,275003,1200
..\client_storage\R2017_10_06\M171006_052521.lvm,925733,210732,199828,284039,1201
..\client_storage\R2017_10_06\M171006_052538.lvm,933970,198876,177230,264114,1207
..\client_storage\R2017_10_06\M171006_052542.lvm,935557,197980,179936,266272,1270
..\client_storage\R2017_10_06\M171006_052547.lvm,930499,203064,186201,273894,1184
..\client_storage\R2017_10_06\M171006_052549.lvm,929903,199116,179127,272622,1201
..\client_storage\R2017_10_06\M171006_052552.lvm,930060,198252,177749,270707,1142
..\client_storage\R2017_10_06\M171006_052556.lvm,934398,201296,183935,270611,1159
..\client_storage\R2017_10_06\M171006_052647.lvm,936015,194112,178168,262655,1326
..\client_storage\R2017_10_06\M171006_052654.lvm,936523,194588,182443,263843,1196
..\client_storage\R2017_10_06\M171006_052659.lvm,932141,198732,181107,266791,1163
..\client_storage\R2017_10_06\M171006_052704.lvm,932877,197296,182155,266506,1146
..\client_storage\R2017_10_06\M171006_052709.lvm,935604,199284,182589,264196,1317
..\client_storage\R2017_10_06\M171006_052714.lvm,937158,201456,187672,268185,1270
..\client_storage\R2017_10_06\M171006_052722.lvm,934690,198696,178146,263685,1276
..\client_storage\R2017_10_06\M171006_052741.lvm,936853,194812,176783,258920,1354
..\client_storage\R2017_10_06\M171006_052759.lvm,927063,202012,180767,269079,1164
..\client_storage\R2017_10_06\M171006_052849.lvm,934087,200264,182662,263605,1204
..\client_storage\R2017_10_06\M171006_052903.lvm,931642,199648,181612,264210,1230
..\client_storage\R2017_10_06\M171006_052916.lvm,930896,199104,176564,263211,1118
..\client_storage\R2017_10_06\M171006_052939.lvm,931453,199484,178295,265811,1169
..\client_storage\R2017_10_06\M171006_052945.lvm,935421,198220,177514,263160,1300
..\client_storage\R2017_10_06\M171006_052949.lvm,933092,198980,176116,262338,1233
..\client_storage\R2017_10_06\M171006_053000.lvm,930816,201376,178610,269568,1203
..\client_storage\R2017_10_06\M171006_053016.lvm,932556,201424,178976,264679,1274
..\client_storage\R2017_10_06\M171006_053018.lvm,932339,197696,181427,267376,1286
..\client_storage\R2017_10_06\M171006_053024.lvm,929834,201624,178940,267306,1175
..\client_storage\R2017_10_06\M171006_053033.lvm,933495,197016,177468,261193,1286
..\client_storage\R2017_10_06\M171006_053041.lvm,931461,199644,178713,265666,1168
..\client_storage\R2017_10_06\M171006_053058.lvm,928165,202636,184035,273360,1240
..\client_storage\R2017_10_06\M171006_053102.lvm,927982,200780,180681,268333,1213
..\client_storage\R2017_10_06\M171006_053116.lvm,927069,200524,179411,269330,1195
..\client_storage\R2017_10_06\M171006_053119.lvm,928219,204896,188685,274247,1243
..\client_storage\R2017_10_06\M171006_053124.lvm,926852,200708,178240,268031,1228
..\client_storage\R2017_10_06\M171006_053137.lvm,933537,199292,176477,263854,1230
..\client_storage\R2017_10_06\M171006_053157.lvm,929188,200304,172939,266675,1195
..\client_storage\R2017_10_06\M171006_053203.lvm,931457,197980,177943,268421,1193
..\client_storage\R2017_10_06\M171006_053206.lvm,930522,199504,174192,266039,1124
..\client_storage\R2017_10_06\M171006_053214.lvm,931171,200320,180717,269124,1168
